experiment,method,query_mode,model_key,index_file,map_key,item_type,query,gold_ids,pred_ids_topk,hit,hit_rank,recall,mrr,ndcg,k,error_type,error_message
Vis: SigLIP (Answer),single,answer,siglip,idx_siglip.bin,siglip,hybrid,Начальная фаза синусоидальной функции определяется значением аргумента функции в момент времени t=0. Это значение равно начальной фазе.,L03_p23_img3|L03_p23,L01_p20_img0|L27_p91_img0|L27_p88_img0|L07_p39_img20|L27_p77_img0,0,-1,0.0,0.0,0.0,5,,
Vis: SigLIP (Answer),single,answer,siglip,idx_siglip.bin,siglip,hybrid,"Метод кусочно-линейной аппроксимации позволяет описать нелинейную характеристику элемента отрезками прямых линий, что делает возможным описание нелинейной цепи линейными уравнениями с постоянными коэффициентами в пределах каждого отрезка.",L31_p20_img0|L31_p19,L01_p20_img0|L07_p39_img20|L13_p50_img0|L20_p40_img0|L42_p39_img0,0,-1,0.0,0.0,0.0,5,,
Vis: SigLIP (Answer),single,answer,siglip,idx_siglip.bin,siglip,hybrid,"Принцип наложения используется для анализа переходных процессов в цепях с распределенными параметрами при нулевых начальных условиях. Это позволяет значительно упростить расчет, так как он сводится к сумме отдельных решений для каждого источника воздействия.",L43_p0_img0|L43_p0,L07_p39_img20|L43_p59_img0|L27_p84_img0|L01_p20_img0|L13_p41_img1,0,-1,0.0,0.0,0.0,5,,
Vis: SigLIP (Answer),single,answer,siglip,idx_siglip.bin,siglip,hybrid,"Значение тока Ii должно быть таким, чтобы алгебраическая сумма всех токов в цепи была равна нулю.",L30_p60_img0|L30_p60,L20_p44_img0|L14_p78_img0|L05_p1_img0|L05_p70_img0|L05_p31_img29,0,-1,0.0,0.0,0.0,5,,
Vis: SigLIP (Answer),single,answer,siglip,idx_siglip.bin,siglip,hybrid,Радиус расточки магнитопровода останется неизменным.,L21_p37|L21_p37_img0,L41_p65_img0|L01_p20_img0|L12_p54_img3|L09_p25_img0|L26_p74_img0,0,-1,0.0,0.0,0.0,5,,
Vis: SigLIP (Answer),single,answer,siglip,idx_siglip.bin,siglip,image,"Элементы H и I соединены последовательно, а затем их сумма подключена к элементу Φ.",L33_p47|L33_p47_img0,L01_p20_img0|L01_p10_img0|L14_p33_img0|L32_p35_img0|L14_p78_img0,0,-1,0.0,0.0,0.0,5,,
Vis: SigLIP (Answer),single,answer,siglip,idx_siglip.bin,siglip,hybrid,"Дополнительные уравнения будут иметь вид i_c = 0, где i_c - ток в цепи.",L20_p13_img0|L20_p11,L19_p42_img0|L43_p20_img0|L43_p7_img0|L26_p22_img0|L20_p24_img0,0,-1,0.0,0.0,0.0,5,,
Vis: SigLIP (Answer),single,answer,siglip,idx_siglip.bin,siglip,hybrid,"Для цепи на рисунке 3, где u_C(0) ≠ 0, следует составить операторную схему замещения, изображенную на рисунке 4. Токи в этой схеме можно определить методом контурных токов.",L27_p57|L27_p57_img0,L08_p19_img1|L21_p35_img0|L43_p2_img1|L43_p2_img0|L28_p49_img0,0,-1,0.0,0.0,0.0,5,,
Vis: SigLIP (Answer),single,answer,siglip,idx_siglip.bin,siglip,image,"Элементы связаны в виде цикла, образуя замкнутую петлю.",L06_p37_img0|L06_p37,L15_p20_img0|L02_p15_img0|L01_p20_img0|L19_p57_img0|L02_p6_img0,0,-1,0.0,0.0,0.0,5,,
Vis: SigLIP (Answer),single,answer,siglip,idx_siglip.bin,siglip,hybrid,"Из этого уравнения можно определить зависимость между искомой функцией времени f(t) и возмущающим воздействием g(t). Коэффициент k указывает на степень влияния возмущающего воздействия на искомую функцию. Если k > 0, то увеличение g(t) приведет к увеличению f(t), если k < 0, то увеличение g(t) приведет к уменьшению f(t). Величина k также показывает, насколько быстро или медленно изменяется f(t) при изменении g(t).",L24_p20_img0|L24_p20,L01_p20_img0|L07_p39_img20|L14_p78_img0|L05_p1_img1|L26_p63_img0,0,-1,0.0,0.0,0.0,5,,
